Run,Step,Network Density,Average Clustering,Number of Active Edges,Successful Projects,Largest Connected Component Size,Resource Node Degree,Gini Coefficient
1,90,0.967032967032967,0.9725274725274726,88,0,14,0,0.31172860686789
1,91,0.967032967032967,0.9725274725274726,88,0,14,0,0.31172860686789
1,92,0.967032967032967,0.9725274725274726,88,0,14,0,0.31172860686789
1,93,0.967032967032967,0.9725274725274726,88,0,14,0,0.31172860686789
1,94,0.967032967032967,0.9725274725274726,88,0,14,0,0.31172860686789
1,95,0.967032967032967,0.9725274725274726,88,0,14,0,0.31172860686789
1,96,0.967032967032967,0.9725274725274726,88,0,14,0,0.31172860686789
1,97,0.967032967032967,0.9725274725274726,88,0,14,0,0.31172860686789
1,98,0.967032967032967,0.9725274725274726,88,0,14,0,0.31172860686789
1,99,0.967032967032967,0.9725274725274726,88,0,14,0,0.31172860686789
2,0,0.24761904761904763,0.8488888888888889,26,0,7,0,0.3444860063824082
2,1,0.24761904761904763,0.8488888888888889,26,0,7,0,0.3444860063824082
2,2,0.24761904761904763,0.8488888888888889,26,0,7,0,0.3444860063824082
2,3,0.24761904761904763,0.8488888888888889,26,0,7,0,0.3444860063824082
2,4,0.24761904761904763,0.8488888888888889,26,0,7,0,0.3444860063824082
2,5,0.24761904761904763,0.8488888888888889,26,0,7,0,0.3444860063824082
2,6,0.24761904761904763,0.8488888888888889,26,0,7,0,0.3444860063824082
2,7,0.24761904761904763,0.8488888888888889,26,0,7,0,0.3444860063824082
2,8,0.24761904761904763,0.8488888888888889,26,0,7,0,0.3444860063824082
2,9,0.24761904761904763,0.8488888888888889,26,0,7,0,0.3444860063824082
2,10,0.24761904761904763,0.8488888888888889,26,0,7,0,0.3444860063824082
2,11,0.24761904761904763,0.8488888888888889,26,0,7,0,0.3444860063824082
2,12,0.24761904761904763,0.8488888888888889,26,0,7,0,0.3444860063824082
2,13,0.24761904761904763,0.8488888888888889,26,0,7,0,0.3444860063824082
2,14,0.24761904761904763,0.8488888888888889,26,0,7,0,0.3444860063824082
2,15,0.24761904761904763,0.8488888888888889,26,0,7,0,0.3444860063824082
2,16,0.24761904761904763,0.8488888888888889,26,0,7,0,0.3444860063824082
2,17,0.24761904761904763,0.8488888888888889,26,0,7,0,0.3444860063824082
2,18,0.24761904761904763,0.8488888888888889,26,0,7,0,0.3444860063824082
2,19,0.24761904761904763,0.8488888888888889,26,0,7,0,0.3444860063824082
2,20,0.24761904761904763,0.8488888888888889,26,0,7,0,0.3444860063824082
2,21,0.580952380952381,0.8844444444444445,61,0,15,0,0.3444860063824082
2,22,0.580952380952381,0.8844444444444445,61,0,15,0,0.3444860063824082
2,23,0.580952380952381,0.8844444444444445,61,0,15,0,0.3444860063824082
2,24,0.580952380952381,0.8844444444444445,61,0,15,0,0.3444860063824082
2,25,0.580952380952381,0.8844444444444445,61,0,15,0,0.3444860063824082
2,26,0.580952380952381,0.8844444444444445,61,0,15,0,0.3444860063824082
2,27,0.8666666666666667,0.9235120435120437,91,0,15,0,0.3444860063824082
2,28,0.8666666666666667,0.9235120435120437,91,0,15,0,0.3444860063824082
2,29,0.8666666666666667,0.9235120435120437,91,0,15,0,0.3444860063824082
2,30,0.8666666666666667,0.9235120435120437,91,0,15,0,0.3444860063824082
2,31,0.8666666666666667,0.9235120435120437,91,0,15,0,0.3444860063824082
2,32,0.8666666666666667,0.9235120435120437,91,0,15,0,0.3444860063824082
2,33,0.8666666666666667,0.9235120435120437,91,0,15,0,0.3444860063824082
2,34,0.8666666666666667,0.9235120435120437,91,0,15,0,0.3444860063824082
2,35,0.8666666666666667,0.9235120435120437,91,0,15,0,0.3444860063824082
2,36,0.8666666666666667,0.9235120435120437,91,0,15,0,0.3444860063824082
2,37,0.8666666666666667,0.9235120435120437,91,0,15,0,0.3444860063824082
2,38,0.8666666666666667,0.9235120435120437,91,0,15,0,0.3444860063824082
2,39,0.8666666666666667,0.9235120435120437,91,0,15,0,0.3444860063824082
2,40,0.8666666666666667,0.9235120435120437,91,0,15,0,0.3444860063824082
2,41,0.8666666666666667,0.9235120435120437,91,0,15,0,0.3444860063824082
2,42,0.8666666666666667,0.9235120435120437,91,0,15,0,0.3444860063824082
2,43,0.8666666666666667,0.9235120435120437,91,0,15,0,0.3444860063824082
2,44,0.8666666666666667,0.9235120435120437,91,0,15,0,0.3444860063824082
2,45,0.8666666666666667,0.9235120435120437,91,0,15,0,0.3444860063824082
2,46,0.8666666666666667,0.9235120435120437,91,0,15,0,0.3444860063824082
2,47,0.8666666666666667,0.9235120435120437,91,0,15,0,0.3444860063824082
2,48,0.8666666666666667,0.9235120435120437,91,0,15,0,0.3444860063824082
2,49,0.9120879120879121,0.9273282273282274,83,0,14,0,0.357891236144987
2,50,0.9120879120879121,0.9273282273282274,83,0,14,0,0.357891236144987
2,51,0.9120879120879121,0.9273282273282274,83,0,14,0,0.357891236144987
2,52,0.9120879120879121,0.9273282273282274,83,0,14,0,0.357891236144987
2,53,0.9120879120879121,0.9273282273282274,83,0,14,0,0.357891236144987
2,54,0.9120879120879121,0.9273282273282274,83,0,14,0,0.357891236144987
2,55,0.9120879120879121,0.9273282273282274,83,0,14,0,0.357891236144987
2,56,0.9120879120879121,0.9273282273282274,83,0,14,0,0.357891236144987
2,57,0.9120879120879121,0.9273282273282274,83,0,14,0,0.357891236144987
2,58,0.9120879120879121,0.9273282273282274,83,0,14,0,0.357891236144987
2,59,0.9120879120879121,0.9273282273282274,83,0,14,0,0.357891236144987
2,60,0.9120879120879121,0.9273282273282274,83,0,14,0,0.357891236144987
2,61,0.9120879120879121,0.9273282273282274,83,0,14,0,0.357891236144987
2,62,0.9120879120879121,0.9273282273282274,83,0,14,0,0.357891236144987
2,63,0.967032967032967,0.9725274725274726,88,0,14,0,0.357891236144987
2,64,0.967032967032967,0.9725274725274726,88,0,14,0,0.357891236144987
2,65,0.967032967032967,0.9725274725274726,88,0,14,0,0.357891236144987
2,66,0.967032967032967,0.9725274725274726,88,0,14,0,0.357891236144987
2,67,0.967032967032967,0.9725274725274726,88,0,14,0,0.357891236144987
2,68,0.967032967032967,0.9725274725274726,88,0,14,0,0.357891236144987
2,69,0.967032967032967,0.9725274725274726,88,0,14,0,0.357891236144987
2,70,0.989010989010989,0.989010989010989,90,0,14,0,0.357891236144987
2,71,0.989010989010989,0.989010989010989,90,0,14,0,0.357891236144987
2,72,0.989010989010989,0.989010989010989,90,0,14,0,0.357891236144987
2,73,0.989010989010989,0.989010989010989,90,0,14,0,0.357891236144987
2,74,0.989010989010989,0.989010989010989,90,0,14,0,0.357891236144987
2,75,0.989010989010989,0.989010989010989,90,0,14,0,0.357891236144987
2,76,0.989010989010989,0.989010989010989,90,0,14,0,0.357891236144987
2,77,0.989010989010989,0.989010989010989,90,0,14,0,0.357891236144987
2,78,0.989010989010989,0.989010989010989,90,0,14,0,0.357891236144987
2,79,0.989010989010989,0.989010989010989,90,0,14,0,0.357891236144987
2,80,0.989010989010989,0.989010989010989,90,0,14,0,0.357891236144987
2,81,0.989010989010989,0.989010989010989,90,0,14,0,0.357891236144987
2,82,0.989010989010989,0.989010989010989,90,0,14,0,0.357891236144987
2,83,0.989010989010989,0.989010989010989,90,0,14,0,0.357891236144987
2,84,0.989010989010989,0.989010989010989,90,0,14,0,0.357891236144987
2,85,0.989010989010989,0.989010989010989,90,0,14,0,0.357891236144987
2,86,0.989010989010989,0.989010989010989,90,0,14,0,0.357891236144987
2,87,0.989010989010989,0.989010989010989,90,0,14,0,0.357891236144987
2,88,0.989010989010989,0.989010989010989,90,0,14,0,0.357891236144987
2,89,0.989010989010989,0.989010989010989,90,0,14,0,0.357891236144987
2,90,0.989010989010989,0.989010989010989,90,0,14,0,0.357891236144987
2,91,0.989010989010989,0.989010989010989,90,0,14,0,0.357891236144987
2,92,0.989010989010989,0.989010989010989,90,0,14,0,0.357891236144987
2,93,0.989010989010989,0.989010989010989,90,0,14,0,0.357891236144987
2,94,0.989010989010989,0.989010989010989,90,0,14,0,0.357891236144987
2,95,0.989010989010989,0.989010989010989,90,0,14,0,0.357891236144987
2,96,0.989010989010989,0.989010989010989,90,0,14,0,0.357891236144987
2,97,0.989010989010989,0.989010989010989,90,0,14,0,0.357891236144987
2,98,0.989010989010989,0.989010989010989,90,0,14,0,0.357891236144987
2,99,0.989010989010989,0.989010989010989,90,0,14,0,0.357891236144987
3,0,0.24761904761904763,0.7422222222222223,26,0,13,0,0.3672231692762259
3,1,0.24761904761904763,0.7422222222222223,26,0,13,0,0.3672231692762259
3,2,0.24761904761904763,0.7422222222222223,26,0,13,0,0.3672231692762259
3,3,0.24761904761904763,0.7422222222222223,26,0,13,0,0.3672231692762259
3,4,0.5619047619047619,0.8912457912457914,59,0,15,0,0.3672231692762259
3,5,0.5619047619047619,0.8912457912457914,59,0,15,0,0.3672231692762259
3,6,0.5619047619047619,0.8912457912457914,59,0,15,0,0.3672231692762259
3,7,0.7142857142857143,0.9090287490287491,75,0,15,0,0.3672231692762259
3,8,0.7142857142857143,0.9090287490287491,75,0,15,0,0.3672231692762259
3,9,0.8666666666666667,0.9235742035742036,91,0,15,0,0.3672231692762259
3,10,0.8666666666666667,0.9235742035742036,91,0,15,0,0.3672231692762259
3,11,0.8666666666666667,0.9235742035742036,91,0,15,0,0.3672231692762259
3,12,0.8666666666666667,0.9235742035742036,91,0,15,0,0.3672231692762259
3,13,0.8666666666666667,0.9235742035742036,91,0,15,0,0.3672231692762259
3,14,0.8666666666666667,0.9235742035742036,91,0,15,0,0.3672231692762259
3,15,0.8666666666666667,0.9235742035742036,91,0,15,0,0.3672231692762259
3,16,0.8666666666666667,0.9235742035742036,91,0,15,0,0.3672231692762259
3,17,0.8666666666666667,0.9235742035742036,91,0,15,0,0.3672231692762259
3,18,0.9333333333333333,0.9473970473970474,98,0,15,0,0.3672231692762259
3,19,0.9428571428571428,0.9545787545787547,99,0,15,0,0.3672231692762259
3,20,0.9428571428571428,0.9545787545787547,99,0,15,0,0.3672231692762259
3,21,0.9428571428571428,0.9545787545787547,99,0,15,0,0.3672231692762259
3,22,0.9428571428571428,0.9545787545787547,99,0,15,0,0.3672231692762259
3,23,0.9428571428571428,0.9545787545787547,99,0,15,0,0.3672231692762259
3,24,0.9428571428571428,0.9545787545787547,99,0,15,0,0.3672231692762259
3,25,0.9428571428571428,0.9545787545787547,99,0,15,0,0.3672231692762259
3,26,0.9428571428571428,0.9545787545787547,99,0,15,0,0.3672231692762259
3,27,0.9428571428571428,0.9545787545787547,99,0,15,0,0.3672231692762259
3,28,0.9428571428571428,0.9545787545787547,99,0,15,0,0.3672231692762259
3,29,0.9619047619047619,0.9672771672771674,101,0,15,0,0.3672231692762259
